scc,level1,level2,level3,level4,ACES_fuel_category,SEDS_code,CO_emission_factor,CO_ef_units,CO2_emission_factor,CO2_ef_units
10100223,External Combustion Boilers,Electric Generation,Subbituminous Coal,Cyclone Furnace,coal,CLEIP,0.5,Lb / Ton,3732.90006254,Lb / Ton
10100224,External Combustion Boilers,Electric Generation,Subbituminous Coal,"Boiler, Spreader Stoker",coal,CLEIP,5,Lb / Ton,3732.90006254,Lb / Ton
10100225,External Combustion Boilers,Electric Generation,Subbituminous Coal,"Boiler, Traveling Grate (Overfeed) Stoker",coal,CLEIP,6,Lb / Ton,3732.90006254,Lb / Ton
10100226,External Combustion Boilers,Electric Generation,"Subbituminous Coal, Pulverized","Boiler, Dry Bottom Tangential-fired",coal,CLEIP,0.5,Lb / Ton,3732.90006254,Lb / Ton
10100237,External Combustion Boilers,Electric Generation,Subbituminous Coal,"Boiler, Atmospheric Fluidized Bed Combustion: Bubbling Bed",coal,CLEIP,18,Lb / Ton,3732.90006254,Lb / Ton
10100301,External Combustion Boilers,Electric Generation,Pulverized Lignite,"Boiler, Dry Bottom Wall-fired",coal,CLEIP,0.25,Lb / Ton,2747.87584654,Lb / Ton
10100302,External Combustion Boilers,Electric Generation,Pulverized Lignite,"Boiler, Dry Bottom Tangential-fired",coal,CLEIP,0.6,Lb / Ton,2747.87584654,Lb / Ton
10100303,External Combustion Boilers,Electric Generation,Lignite,Cyclone Furnace,coal,CLEIP,0.6,Lb / Ton,2747.87584654,Lb / Ton
10100306,External Combustion Boilers,Electric Generation,Lignite,"Boiler, Spreader Stoker",coal,CLEIP,5,Lb / Ton,2747.87584654,Lb / Ton
10100316,External Combustion Boilers,Electric Generation,Lignite,"Boiler, Atmospheric Fluidized Bed Combustion: Bubbling Bed",coal,CLEIP,0.15,Lb / Ton,2747.87584654,Lb / Ton
10100318,External Combustion Boilers,Electric Generation,Lignite,"Boiler, Atmospheric Fluidized Bed Combustion: Circulating Bed",coal,CLEIP,0.15,Lb / Ton,2747.87584654,Lb / Ton
10100401,External Combustion Boilers,Electric Generation,Residual Oil - Grade 6,"Boiler, Normal Firing",residual oil,RFEIP,5,Lb / 1000 Gallon,27121.1470552,Lb / 1000 Gallon
10100404,External Combustion Boilers,Electric Generation,Residual Oil - Grade 6,"Boiler, Tangential-fired",residual oil,RFEIP,5,Lb / 1000 Gallon,27121.1470552,Lb / 1000 Gallon
10100501,External Combustion Boilers,Electric Generation,Distillate Oil - Grades 1 and 2,Boiler,distillate oil / jet kerosene,DFEIP,5,Lb / 1000 Gallon,22365.7045535,Lb / 1000 Gallon
10100504,External Combustion Boilers,Electric Generation,Distillate Oil - Grade 4,"Boiler, Normal Firing",distillate oil / jet kerosene,DFEIP,5,Lb / 1000 Gallon,23797.25029968,Lb / 1000 Gallon
10100505,External Combustion Boilers,Electric Generation,Distillate Oil - Grade 4,"Boiler, Tangential-fired",distillate oil / jet kerosene,DFEIP,5,Lb / 1000 Gallon,23797.25029968,Lb / 1000 Gallon
